episode,reward,steps,avg10,avg100,epsilon,time_elapsed,real_time_elapsed,timestamp
4700,-10.176300048828125,73,-26.926861591339208,-39.717094017982184,0.01,0.00813908299997479,0.0,2025-04-09 20:52:23.529801
4800,-3.809064483642578,58,-21.96026809692392,-41.140813250541534,0.01,0.0010795000000030086,0.0,2025-04-09 20:52:34.793245
4900,-83.31451644897443,831,-75.13329336166224,-53.33664032936044,0.01,0.27725929199999655,0.0,2025-04-09 20:52:49.955343
5000,-1.8669036865234376,52,-12.156503953933715,-41.152203967094195,0.01,0.0009860830000150145,0.0,2025-04-09 20:53:00.939146
5100,-125.9664535522441,1165,-56.80234672546383,-42.18933090782151,0.01,0.39120383300002004,0.0,2025-04-09 20:53:12.143151
5200,-10.73488006591797,112,-36.86792114257797,-30.028573035240065,0.01,0.01354162500001621,0.0,2025-04-09 20:53:19.878818
5300,-40.145356750488425,381,-46.108245773315225,-38.153274428367446,0.01,0.10336799999998902,0.0,2025-04-09 20:53:30.117191
5400,-35.140034484863335,317,-34.13111978530834,-33.565153114318626,0.01,0.08136974999999325,0.0,2025-04-09 20:53:38.965059
5500,-14.442194366455068,156,-18.438216648101868,-30.5133423614501,0.01,0.0285314999999855,0.0,2025-04-09 20:53:46.879598
5600,-4.191271591186523,80,-11.021937913894657,-27.775918775558413,0.01,0.0015669590000015887,0.0,2025-04-09 20:53:54.184039
5700,-51.86319503784213,486,-30.593403224945156,-39.28702402496326,0.01,0.15203895899998088,0.0,2025-04-09 20:54:05.241137
5800,-15.557488250732423,113,-29.192535943985046,-22.07205945253372,0.01,0.013568707999979779,0.0,2025-04-09 20:54:10.737162
5900,-5.503598785400391,63,-23.681461448669513,-24.466187957763687,0.01,0.0012174999999956526,0.0,2025-04-09 20:54:16.966751
6000,-7.115403747558594,90,-37.986616058349185,-22.118254281997505,0.01,0.0029453750000243417,0.0,2025-04-09 20:54:22.307273
6100,-15.979682159423813,162,-14.552490615844738,-28.718623455047393,0.01,0.03299283299998024,0.0,2025-04-09 20:54:29.512003
6200,-11.913921356201172,95,-32.60937782287612,-28.8496810746191,0.01,0.0176157079999939,0.0,2025-04-09 20:54:36.948528
6300,-4.636563491821289,93,-14.691211819648762,-21.249476561069365,0.01,0.0018281249999745341,0.0,2025-04-09 20:54:41.875687
6400,-4.1937194824218755,70,-37.54983917236258,-17.233408267974795,0.01,0.001395250000030046,0.0,2025-04-09 20:54:45.522568
6500,-6.5321296691894535,88,-41.84238830566386,-25.94095570182782,0.01,0.003516540999953577,0.0,2025-04-09 20:54:52.238459
6600,-116.15329589843607,1094,-21.18997026443468,-21.47339222049708,0.01,0.3571529170000076,0.0,2025-04-09 20:54:57.438184
6700,-125.0647735595692,1005,-34.78225532531735,-21.98710006332393,0.01,0.36789716599997746,0.0,2025-04-09 20:55:02.841494
6800,-7.054985809326173,59,-33.368432350158734,-25.687419027328364,0.01,0.0025130839999860655,0.0,2025-04-09 20:55:09.408446
