episode,reward,steps,avg10,avg100,avg100success,epsilon,time_elapsed,real_time_elapsed,timestamp
8400,-2.7565392112731946,231.63,-3.7456571326090766,-2.4639659500163655,8.0,0.05,0.3187277090000862,0.0,2025-04-11 11:49:36.652954
8500,-3.2121728401184058,215.1,-1.7258413876013066,-2.2821156382534458,8.0,0.05,0.37081066700011434,0.0,2025-04-11 11:50:12.622539
8600,2.4860180796661133,221.97,0.08234545480593329,-2.1773297835776186,10.0,0.05,0.27149487499991665,0.0,2025-04-11 11:50:50.877313
8700,-3.2789783554077108,243.27,-3.2692390498161226,-2.925633303465069,7.000000000000001,0.05,0.33500954199985244,0.0,2025-04-11 11:51:29.356523
8800,-3.0878841724395754,215.0,-2.8397747465133643,-2.4966923942686514,6.0,0.05,0.35474870800021563,0.0,2025-04-11 11:52:03.511931
8900,-3.19829120826721,226.5,-3.555502853965747,-2.6885375878620916,6.0,0.05,0.3670111659998838,0.0,2025-04-11 11:52:42.265462
9000,-3.8614554443359212,239.42,-1.9934223174059054,-2.6825056884746106,8.0,0.05,0.45211300000005394,0.0,2025-04-11 11:53:21.302644
9100,-2.2715362911224375,232.29,-2.6151633150982354,-2.586576147354175,8.0,0.05,0.1924610839998877,0.0,2025-04-11 11:53:57.228790
9200,-2.1890854778289803,251.76,-2.299359757117275,-3.1239232279376874,6.0,0.05,0.20164641599990318,0.0,2025-04-11 11:54:39.708963
9300,-2.8505498571395886,244.04,-3.653003817272174,-2.278977454504459,12.0,0.05,0.30888374999994994,0.0,2025-04-11 11:55:22.305301
9400,-3.1440478334426865,237.89,-0.860224455965108,-2.2658803326559123,11.0,0.05,0.3196583330000067,0.0,2025-04-11 11:55:59.056202
9500,-3.2549197387695274,237.09,-1.6081657501810553,-2.2585014042590252,11.0,0.05,0.38964070900010483,0.0,2025-04-11 11:56:38.779187
9600,4.731538652234839,244.01,-0.9634271651429067,-2.4710627109463017,9.0,0.05,0.31686162500000137,0.0,2025-04-11 11:57:21.009825
9700,-2.8544390592575084,261.99,-3.9011885679244807,-2.840926146320026,8.0,0.05,0.2705246669997905,0.0,2025-04-11 11:58:02.841129
9800,-2.9158822593688978,226.18,-3.252010173988336,-2.246404194412495,9.0,0.05,0.32289399999990565,0.0,2025-04-11 11:58:38.396385
9900,-2.9889126434326188,248.03,-1.2469351935910373,-1.8817826984009491,16.0,0.05,0.3172751249999237,0.0,2025-04-11 11:59:19.852001
10000,-2.057596687316895,253.14,-1.7320759190767228,-2.5796030044086966,10.0,0.05,0.16389962499988542,0.0,2025-04-11 12:00:00.678417
