episode,height,reward,steps,success,epsilon,actions_forward,actions_backward,actions_left,actions_right
120,68.17439561718604,-3.3372333484524375,76,False,0.8868671875860644,0,0,0,0
121,77.92914203915419,-3.377820628098561,84,False,0.8859803203984784,1,0,1,0
122,58.798328443864875,-3.131389186078737,81,False,0.88509434007808,0,3,2,6
123,77.88769021792687,-3.1912208397451267,84,False,0.8842092457380019,0,0,0,2
124,66.64807814949019,-3.2544413643521155,75,False,0.8833250364922639,0,0,0,0
125,61.59906283059466,-3.2873133287470866,73,False,0.8824417114557717,0,0,0,1
126,55.091708471509456,-3.11516364560536,69,False,0.8815592697443159,0,0,1,0
127,61.61593299557077,-3.163086357255266,74,False,0.8806777104745716,1,0,1,0
128,55.32416699218534,-3.3186581755222333,70,False,0.8797970327640969,0,0,1,1
129,51.23819115297354,-3.1208818429209018,65,False,0.8789172357313328,0,0,0,0
130,65.81078364625655,-3.389336470215193,80,False,0.8780383184956015,1,2,0,2
131,54.329694508764156,-3.328518621505631,69,False,0.8771602801771059,1,0,0,0
132,61.4118825490769,-3.033854920716994,73,False,0.8762831198969288,1,0,0,0
133,53.55989573636214,-2.9441602761846744,72,False,0.8754068367770318,1,3,0,1
134,70.03600604661688,-3.6682964518153973,89,False,0.8745314299402548,1,4,4,2
135,54.86704802729391,-3.2641527695153574,74,False,0.8736568985103146,1,1,2,2
136,56.036903240303964,-2.787679642030098,68,False,0.8727832416118043,0,0,0,0
137,66.51289989983135,-2.8602085351583373,77,False,0.8719104583701925,0,0,1,1
138,53.753771940930235,-3.3348915521834686,69,False,0.8710385479118223,1,0,1,0
139,56.6161542866418,-2.983805830614333,77,False,0.8701675093639105,1,4,3,0
140,50.85762979860626,-2.8603892651926826,70,False,0.8692973418545467,0,2,2,1
141,75.25403165063378,-3.2576122724572185,82,False,0.8684280445126921,0,1,0,0
142,63.08409411575669,-3.218390686647129,77,False,0.8675596164681794,2,0,1,1
143,78.80772394129066,15.186380944798115,84,True,0.8666920568517111,0,0,1,0
144,70.94824587606232,-3.483823989654325,81,False,0.8658253647948594,1,1,0,1
145,76.460958997614,-3.353710141691547,101,False,0.8649595394300645,6,5,6,3
146,52.29966074698941,-3.0179806821622366,67,False,0.8640945798906344,0,1,0,0
147,65.91616017282,-3.3372845460091436,76,False,0.8632304853107438,0,0,0,1
148,68.72179025305778,-2.860988178128915,77,False,0.862367254825433,0,1,0,0
149,75.01711531793184,19.544079841323885,95,True,0.8615048875706075,5,3,2,4
150,68.3001695369094,-3.047065499849774,78,False,0.8606433826830369,0,1,0,1
151,60.025413989643326,-2.8212374968540614,70,False,0.8597827393003539,0,0,0,0
152,57.8977417432833,-3.40568944457037,72,False,0.8589229565610536,0,0,1,1
153,72.07298233929403,-3.285090064729091,78,False,0.8580640336044925,0,0,0,0
154,79.18896996819038,-3.376618128547956,85,False,0.857205969570888,1,0,1,0
155,53.26438575176446,-2.8603936809210335,69,False,0.8563487636013172,1,0,0,1
156,54.219321781992036,-3.117199358657297,74,False,0.8554924148377159,0,3,4,0
157,62.61974796569888,-3.272970958638546,74,False,0.8546369224228781,0,0,0,1
158,61.88345719385369,-2.878987800055308,72,False,0.8537822855004553,0,0,0,0
159,72.03580388496245,-3.2844657235869743,86,False,0.8529285032149548,1,0,2,4
160,60.67025216673248,-3.041827582485617,76,False,0.8520755747117399,0,2,1,1
161,54.177678088617526,-3.2422993964872147,72,False,0.8512234991370281,0,0,3,1
162,50.911207522114985,-3.3163307492254344,69,False,0.8503722756378911,2,0,1,1
163,58.272302545144555,-3.134744169804029,73,False,0.8495219033622532,0,1,0,2
164,52.910913248494374,-3.0487964792199236,66,False,0.8486723814588909,0,0,0,0
165,52.93694156066136,-3.2060089450400717,74,False,0.847823709077432,1,1,0,5
166,72.44029764899543,-3.2960549197517883,78,False,0.8469758853683546,0,0,0,0
167,55.082915899776566,7.077947665191804,71,True,0.8461289094829862,0,2,1,0
168,68.80378510809837,-3.2302536530299695,76,False,0.8452827805735033,0,0,0,0
169,57.25034272959579,-3.4089752185725306,72,False,0.8444374977929298,0,1,0,1
170,72.22551402065025,-3.2958643873890434,81,False,0.8435930602951368,0,0,0,2
171,77.09204402732222,-3.3941141474847463,87,False,0.8427494672348417,1,2,1,1
172,65.3237613052568,-3.353108934145422,76,False,0.8419067177676068,0,0,0,1
173,73.78235285906885,-3.180673325779294,79,False,0.8410648110498392,0,0,0,0
174,57.90716817621961,13.557510888614557,75,True,0.8402237462387894,0,2,1,2
175,78.67759718454269,15.113724153164979,82,True,0.8393835224925505,0,0,0,0
176,78.74970320110114,-3.2665608203404632,103,False,0.838544138970058,2,7,5,7
177,67.64557250240985,-3.349432249898582,78,False,0.8377055948310879,0,0,2,0
178,63.33620136066246,-3.2431226236431865,75,False,0.8368678892362568,0,0,1,1
179,67.05708606466602,-3.192633908203625,75,False,0.8360310213470206,0,0,0,0
180,66.19446250787102,-3.403266653272352,77,False,0.8351949903256736,1,1,0,0
181,52.65141333665799,10.552853596935257,68,True,0.8343597953353479,2,0,0,0
182,56.49867694451079,-3.599501672253396,78,False,0.8335254355400126,4,1,2,2
183,68.99563997153912,-2.753093148535928,76,False,0.8326919101044725,0,0,0,0
184,78.0028719834095,14.506755380658532,87,True,0.831859218194368,0,1,0,4
185,66.61313761103284,-3.1477175530424235,79,False,0.8310273589761736,2,2,0,0
186,73.8829464575441,-3.059023350414503,80,False,0.8301963316171974,0,0,1,0
187,51.06154182298713,-3.3830935750900837,72,False,0.8293661352855802,1,2,3,0
188,52.91705046615843,-3.0816755778508105,71,False,0.8285367691502946,1,1,0,2
189,60.11423213061854,-2.7727527094622673,76,False,0.8277082323811443,1,0,2,2
190,63.64165731049796,-3.1512315717152237,82,False,0.8268805241487632,2,3,3,1
191,65.90815851960791,-3.050840120263376,81,False,0.8260536436246144,2,0,2,2
192,68.16620278403317,-2.9787496796366755,77,False,0.8252275899809898,0,1,0,0
193,70.20994607096623,-3.231304968283199,77,False,0.8244023623910088,0,0,0,0
194,56.50258800093668,11.515586831787434,78,True,0.8235779600286178,2,3,2,2
195,57.098514517242236,-3.1795700178146933,70,False,0.8227543820685892,0,0,1,0
196,56.72234045737043,-2.8763607585631865,70,False,0.8219316276865206,1,0,0,0
197,75.67325707823318,-3.3200539433960268,82,False,0.8211096960588341,0,0,0,1
198,55.78234039676954,-3.3050572805153333,77,False,0.8202885863627752,1,1,4,2
199,68.68361482444621,-2.962537218499163,76,False,0.8194682977764125,0,0,0,0
200,56.51423799546983,16.594950394081703,71,True,0.818648829478636,0,1,0,1
201,51.77201157039414,-3.1557041827439187,67,False,0.8178301806491574,0,1,0,0
202,71.84956550828879,-3.2232365823876177,86,False,0.8170123504685082,3,3,2,0
203,54.83464720855931,-3.1417564256468733,71,False,0.8161953381180397,0,1,2,0
204,51.17662687129052,-3.1674136415201604,65,False,0.8153791427799216,0,0,0,0
205,63.03237388071538,-2.8974971945039094,87,False,0.8145637636371417,5,4,3,2
206,51.43920732087169,-3.1017770251451156,69,False,0.8137491998735046,1,1,1,0
207,56.56608787884436,-3.5065702353997903,75,False,0.812935450673631,4,1,0,1
208,65.3409728516908,-3.3340805518147425,74,False,0.8121225152229574,0,0,0,0
209,79.36295785454676,-3.3339895368956896,91,False,0.8113103927077344,4,2,0,2
210,76.65817318760348,-3.302553279211758,88,False,0.8104990823150267,1,2,0,4
211,62.856510142800055,-3.3882584146545374,86,False,0.8096885832327116,5,1,3,4
212,69.28136814262979,-3.1058910444311065,87,False,0.8088788946494789,1,3,3,3
213,54.799278357056174,-3.2652950010665482,72,False,0.8080700157548294,0,1,1,2
214,54.30311406050423,-2.8617199040345414,79,False,0.8072619457390746,3,5,2,2
215,74.29115778071026,-3.239388724655271,83,False,0.8064546837933355,1,2,0,0
216,62.2642328439865,17.69273335251831,74,True,0.8056482291095421,1,0,0,0
217,73.25775423714538,-3.327347046242343,86,False,0.8048425808804326,1,3,0,3
218,76.95712880154578,-3.492589536787569,95,False,0.8040377382995522,5,2,3,3
219,73.21883621293534,-3.4477669024169635,98,False,0.8032337005612527,6,3,5,5
220,52.682125992771724,-2.9644950355267916,68,False,0.8024304668606914,0,0,0,2
221,66.48720013887946,-3.2497209942562466,76,False,0.8016280363938307,0,0,1,0
222,61.431188105027935,10.722043512712336,76,True,0.8008264083574369,1,1,0,2
223,60.48194959883111,-3.3399277014845206,74,False,0.8000255819490795,0,1,1,0
224,63.524359807020346,-3.052963586955115,73,False,0.7992255563671304,0,0,0,0
225,59.979838861796836,-3.227597977850963,72,False,0.7984263308107633,1,0,0,0
226,75.04516111121778,-3.263086363854534,84,False,0.7976279044799526,0,1,3,0
227,53.348311869019945,-3.623057456628404,86,False,0.7968302765754727,4,4,4,7
228,75.47276439062887,-3.4391071130608366,84,False,0.7960334462988972,0,1,0,2
229,78.6214037518435,7.1249111087589245,96,True,0.7952374128525983,3,6,2,3
230,68.72003755333165,-3.301342930529069,76,False,0.7944421754397457,0,0,0,0
231,62.072542288340344,-3.230796159443403,76,False,0.7936477332643059,2,0,0,1
232,61.812583950740745,-3.2475402445365895,74,False,0.7928540855310416,1,1,0,0
233,72.25521666934223,-3.094930269727928,80,False,0.7920612314455105,0,0,1,0
234,52.14527085780872,-3.1250269824017094,67,False,0.7912691702140651,1,0,0,0
235,59.64077697703017,-3.1688232819015445,70,False,0.790477901043851,0,0,0,0
236,66.60762472992744,-3.2939060432156193,75,False,0.7896874231428072,0,0,0,0
237,77.51117123634211,-3.4457640522842024,83,False,0.7888977357196644,0,0,0,1
238,69.64554489348282,-3.284205610775274,89,False,0.7881088379839447,0,3,5,4
239,79.78574711411996,-3.1254906475885824,84,False,0.7873207291459607,0,1,0,0
240,79.66011179990781,15.710407290880582,92,True,0.7865334084168147,4,1,1,3
241,75.748807829491,-3.1767110774608924,88,False,0.7857468750083979,2,3,0,2
242,72.53866035328497,-2.8852877171044877,81,False,0.7849611281333895,0,1,0,1
243,74.25132795045084,-3.2111016451240104,79,False,0.784176167005256,0,0,0,0
244,79.32652275209001,-3.1194697946532663,87,False,0.7833919908382508,0,0,3,1
245,70.90531399133478,-3.2455093382351157,80,False,0.7826085988474126,0,1,0,1
246,51.77310136870867,-2.805165207360327,75,False,0.7818259902485653,0,4,3,2
247,56.0439824679103,-3.341466050271769,82,False,0.7810441642583167,4,1,4,4
248,76.27119007121482,-3.3875715245249713,81,False,0.7802631200940584,0,0,0,0
249,67.98383590138735,-3.175061511272314,80,False,0.7794828569739644,2,1,0,1
250,64.2649660526096,18.801409635472748,75,True,0.7787033741169904,0,0,1,0
251,79.86386331453438,-3.2180841181376314,89,False,0.7779246707428734,0,3,1,2
252,63.87362902511806,-3.137903546740494,76,False,0.7771467460721305,0,1,1,0
253,59.81016824230279,-3.233053202450354,75,False,0.7763695993260584,0,2,2,0
254,79.88115376961406,-3.1509531618036286,82,False,0.7755932297267324,0,0,0,0
255,70.51014132481026,-3.1307026227733905,77,False,0.7748176364970056,0,0,0,0
256,70.77880711926129,-3.224153312018823,80,False,0.7740428188605086,1,0,0,1
257,69.96370579875855,-2.8918607197145487,80,False,0.7732687760416481,0,2,0,1
258,76.51215893263365,-3.169642211644883,84,False,0.7724955072656065,1,0,1,1
259,51.00524634348322,-3.3451461461299683,77,False,0.7717230117583408,0,4,3,5
260,56.48971959388015,11.565606725817107,68,True,0.7709512887465825,0,0,0,0
261,79.90353494771526,-3.030010770968237,82,False,0.7701803374578359,0,0,0,0
262,76.57708231114384,-3.1990030001128034,87,False,0.7694101571203781,1,2,1,2
263,78.71643811396865,-3.3897569506852,87,False,0.7686407469632577,1,2,1,0
264,64.44348328524623,-2.923444042767531,81,False,0.7678721062162944,2,1,0,4
265,60.13938712943311,-3.2481605301650314,75,False,0.7671042341100781,0,2,0,2
266,59.05548075627571,-3.2980146358692917,80,False,0.766337129875968,4,1,2,2
267,59.85945735557404,-3.16528188237411,77,False,0.7655707927460921,1,0,2,3
268,78.38705483767569,-3.320312583670532,85,False,0.764805221953346,0,0,1,2
269,66.55252640880889,14.992435024997093,83,True,0.7640404167313927,2,2,3,1
270,75.44213363653972,-3.3762696823475586,83,False,0.7632763763146613,0,1,1,0
271,73.0838737748583,14.239939458164768,84,True,0.7625130999383466,0,1,1,3
272,66.14490492886878,-3.11059938773631,78,False,0.7617505868384082,2,1,0,0
273,62.62896043304869,-3.0884778865603097,81,False,0.7609888362515699,2,2,3,1
274,62.69510486105696,18.897939499603172,74,True,0.7602278474153183,0,0,0,1
